Open	High	Low	Close	Adj Close	Volume
100731.5390625	100731.5390625	100730.3203125	100730.3203125	100730.3203125	0
100728.0390625	100733.828125	100728.0390625	100733.828125	100733.828125	0
100741.0703125	100741.0703125	100733.4921875	100733.4921875	100733.4921875	0
100751.109375	100764.9609375	100751.109375	100764.9609375	100764.9609375	0
100792.0703125	100849.609375	100792.0703125	100849.609375	100849.609375	0
100880.9921875	100957.4609375	100880.9921875	100957.4609375	100957.4609375	0
100979.9921875	101036.4609375	100979.9921875	101036.4609375	101036.4609375	0
101001.7734375	101036.90625	101001.7734375	101036.90625	101036.90625	0
101125.2578125	101125.2578125	101117.9921875	101117.9921875	101117.9921875	0
101117.4921875	101162.9296875	101117.4921875	101162.9296875	101162.9296875	0
101192.34375	101220.4296875	101192.34375	101220.4296875	101220.4296875	0
101202.9921875	101202.9921875	101105.0703125	101105.0703125	101105.0703125	0
101139.21875	101143.578125	101139.21875	101143.578125	101143.578125	0
101161.7890625	101215.8828125	101161.7890625	101215.8828125	101215.8828125	0
101199.453125	101199.453125	101138.1875	101138.1875	101138.1875	0
101132.34375	101132.34375	101104.3203125	101104.3203125	101104.3203125	0
101093.21875	101109.25	101093.21875	101109.25	101109.25	0
101148.25	101148.25	101133.1484375	101133.1484375	101133.1484375	0
101138.1796875	101209.6875	101138.1796875	101209.6875	101209.6875	0
101184.6171875	101195.25	101184.6171875	101195.25	101195.25	0
101266.0703125	101359.640625	101266.0703125	101359.640625	101359.640625	0
101407.7734375	101407.7734375	101374.7265625	101374.7265625	101374.7265625	0
101350.3515625	101372.0625	101350.3515625	101372.0625	101372.0625	0
101405.8984375	101405.8984375	101402.0703125	101402.0703125	101402.0703125	0
101442.15625	101466.4921875	101442.15625	101466.4921875	101466.4921875	0
101492.859375	101576.671875	101492.859375	101576.671875	101576.671875	0
101523.6328125	101523.6328125	101345.453125	101345.453125	101345.453125	0
101312.3203125	101327.1484375	101312.3203125	101327.1484375	101327.1484375	0
101359.6796875	101359.6796875	101332.421875	101332.421875	101332.421875	0
101352.109375	101359.171875	101352.109375	101359.171875	101359.171875	0
101394.609375	101457.4765625	101394.609375	101457.4765625	101457.4765625	0
101280.1796875	101314.59375	101280.1796875	101314.59375	101314.59375	0
101311.8203125	101311.8203125	101228.296875	101228.296875	101228.296875	0
101218.84375	101218.84375	101177.2578125	101177.2578125	101177.2578125	0
101202.390625	101202.390625	101156.1015625	101156.1015625	101156.1015625	0
101155.6796875	101222.2890625	101155.6796875	101222.2890625	101222.2890625	0
101110.4296875	101110.4296875	101077.4296875	101077.4296875	101077.4296875	0
101082.046875	101087.8671875	101082.046875	101087.8671875	101087.8671875	0
